"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"NCAPG2",1.47776983641663,6.94019758292868,12.3314748734145,8.44117954892691e-19,2.08079614149623e-17,32.3137909624141,"Upregulated"
"TLCD3A",1.43700015203727,7.46768854331322,12.328823039876,8.52576711497431e-19,2.09601298778323e-17,32.3038254086776,"Upregulated"
"DBF4",1.14873830330072,7.30407471570182,12.3024533129993,9.4148769956277e-19,2.29612824600814e-17,32.2046809251107,"Upregulated"
"NUP155",1.11410913258447,6.57503420949817,12.2664228322933,1.07829939037869e-18,2.5917101316858e-17,32.0690749764757,"Upregulated"
"CDCA2",1.23411097126276,5.90983176379917,12.2313562349679,1.23070675427069e-18,2.92751775270098e-17,31.9369427892427,"Upregulated"
"VRK1",1.13089455958214,7.84735767467328,12.2302957050042,1.23564022164073e-18,2.93164833957193e-17,31.9329443122472,"Upregulated"
"FANCG",1.0698068204353,6.89920692607016,12.229225119305,1.2406407005682e-18,2.93939378782525e-17,31.928907781921,"Upregulated"
"CENPA",1.30295710639646,6.53205118628992,12.1865419767658,1.45755734421831e-18,3.41836338784702e-17,31.7678605558589,"Upregulated"
"MTFR2",1.09848708745497,5.71557150390116,12.1708208529758,1.54676803115449e-18,3.60912540602715e-17,31.7084869436432,"Upregulated"
"SKA3",1.11467999619574,6.5066170803086,12.1396181645531,1.74048456270105e-18,4.04056795948574e-17,31.5905546394045,"Upregulated"
"BIK",1.10290750662553,9.19724448545365,12.1346519159609,1.77349986911995e-18,4.10681661611868e-17,31.5717734195035,"Upregulated"
"FANCI",1.32670415859965,6.13093866033798,12.1279049389222,1.8193677925887e-18,4.19713274416059e-17,31.5462530531798,"Upregulated"
"SAMD5",1.52529474925981,6.69526269794575,12.0893379973444,2.10550201111422e-18,4.79688284271239e-17,31.4002671743951,"Upregulated"
"IFITM3",1.15110464250778,11.4305565043283,12.0656114756789,2.30367096847772e-18,5.21596611875079e-17,31.310365920153,"Upregulated"
"CDC20",1.56148594365592,7.92464766124266,12.0616096614557,2.33890306164371e-18,5.28920864988233e-17,31.2951960370551,"Upregulated"
"ZC3HAV1L",1.51058735460652,7.62967310149281,12.0305725057851,2.63126938110879e-18,5.85649034581739e-17,31.1774757170051,"Upregulated"
"CRNDE",2.71560491483343,4.93433744258414,11.9816944587358,3.1682955188327e-18,6.93395463190832e-17,30.9918497808246,"Upregulated"
"SYTL1",1.56144179204542,7.05632415728631,11.9658409304389,3.36523068951351e-18,7.30394447877843e-17,30.9315800976749,"Upregulated"
"FOXM1",1.4350604543286,6.30397016797302,11.9645308796522,3.38204642752437e-18,7.32440679541907e-17,30.9265983737498,"Upregulated"
"CCNA2",1.68414949957768,7.38877148253688,11.9641741875679,3.3866395651665e-18,7.32440679541907e-17,30.925241946516,"Upregulated"
"BUB1B",1.50464391395822,7.67198221295031,11.9464944895039,3.62236352154681e-18,7.77007567077994e-17,30.8579903979695,"Upregulated"
"FEN1",1.34412629581275,7.62180132313588,11.9399519338686,3.71373144569109e-18,7.94747196195737e-17,30.8330936977663,"Upregulated"
"KCNN4",1.17206805427323,7.93374331469555,11.9378688284037,3.74330740169811e-18,8.0014286418582e-17,30.8251656728385,"Upregulated"
"MTERF2",1.00021300487632,6.93294634460387,11.9325697175857,3.81961934470949e-18,8.11920276378569e-17,30.8049955962251,"Upregulated"
