"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"SLC46A3",-1.28409904373194,7.87821039016301,-11.020979663056,1.2917467988475e-16,2.04405835123927e-15,27.2862671840741,"Downregulated"
"ARHGAP42",-1.21916286718275,5.8751327455411,-11.0097234249372,1.34994859419716e-16,2.12880973495923e-15,27.2422314933382,"Downregulated"
"KCNK5",-1.01083262901609,6.86901145259806,-10.9604472236775,1.63748189513761e-16,2.53643732743445e-15,27.0492963042033,"Downregulated"
"SYNC",-1.27882366799177,4.73669435707657,-10.9462888648322,1.73098324517494e-16,2.66999434116975e-15,26.9938126124882,"Downregulated"
"MRC1",-1.70700605202763,7.17645336759481,-10.941882470998,1.7611662185318e-16,2.71198895448137e-15,26.9765404801398,"Downregulated"
"TRGC2",-1.58685436983548,5.29620704379295,-10.9383110074794,1.78601858730402e-16,2.74564802105245e-15,26.9625395735246,"Downregulated"
"NBPF1",-1.06843854680237,7.58774861671998,-10.9298789835359,1.84610412867766e-16,2.82853381119033e-15,26.9294788117922,"Downregulated"
"CHRNA1",-1.0413608767466,4.34769197480494,-10.9232114071481,1.89505467917843e-16,2.89869081035299e-15,26.9033308204217,"Downregulated"
"ATP2B1",-1.0066097045131,7.67742351021527,-10.9077501142406,2.0136553723057e-16,3.06731225316333e-15,26.8426785915391,"Downregulated"
"MAGEH1",-1.40831676746767,6.58042961225244,-10.8644932710113,2.38672911050155e-16,3.58791900709823e-15,26.6728538744585,"Downregulated"
"POSTN",-2.06644341161212,8.29196350513985,-10.8472820528867,2.55386854873091e-16,3.8203873722451e-15,26.6052282579433,"Downregulated"
"DUSP1",-1.12771228926669,7.23753040885928,-10.8146730196972,2.90355530847561e-16,4.31183840950954e-15,26.4770167448294,"Downregulated"
"CD302",-1.22896600960655,7.90718235348355,-10.8124862566244,2.92866187703209e-16,4.33858310377774e-15,26.4684148869573,"Downregulated"
"B3GNT7",-1.289796892204,5.90559627792894,-10.8092430234005,2.96630104315318e-16,4.39079589438493e-15,26.455656373868,"Downregulated"
"ADA2",-1.67935858675684,7.92456129970083,-10.8059392340589,3.00514387361126e-16,4.44470472919601e-15,26.4426585092411,"Downregulated"
"IL10RA",-1.18929131355772,6.25467836314414,-10.7959414590603,3.12583648689736e-16,4.59726071930213e-15,26.4033180263464,"Downregulated"
"ANPEP",-1.81041988510994,5.75131859715852,-10.7890356666019,3.21204169755534e-16,4.71270757865319e-15,26.3761381713366,"Downregulated"
"TNFRSF17",-2.43949170463427,7.15717450247047,-10.765404363678,3.52555872375696e-16,5.1357225570852e-15,26.2830924230501,"Downregulated"
"DPYD",-1.98420550575551,5.9123452450119,-10.7531967616414,3.69940841849537e-16,5.37190422764886e-15,26.2350035870707,"Downregulated"
"CERK",-1.35824990972415,7.04178262502883,-10.6850147518871,4.84186782152291e-16,6.84655789103549e-15,25.9661349140615,"Downregulated"
"CXCL13",-3.66747072336642,5.36263094717462,-10.6576389140456,5.39512352185668e-16,7.57050997634672e-15,25.8580472792327,"Downregulated"
"IL2RG",-1.08467385209576,9.61454495371817,-10.6555369571818,5.44014704042461e-16,7.62785143129873e-15,25.8497450026896,"Downregulated"
"TUSC3",-1.74845849829863,6.46085845945638,-10.6467086340196,5.63341609833e-16,7.88076668523052e-15,25.8148701364435,"Downregulated"
"CYBRD1",-1.51346798992611,6.46599345471158,-10.6426449976443,5.7246855941284e-16,7.99016238936947e-15,25.7988147430774,"Downregulated"
"SI",-3.4765861058132,8.37202485844739,-10.5785371111167,7.37841744529623e-16,1.01439412253923e-14,25.5453048448494,"Downregulated"
"ZG16",-3.50051389782195,11.6881975677373,-10.5712178933426,7.59552510863352e-16,1.04189925573926e-14,25.5163353421515,"Downregulated"
"STMN2",-1.80340543116509,6.57801883749363,-10.5635977648741,7.8283946495097e-16,1.06904510701421e-14,25.4861691612473,"Downregulated"
"TINAG",-1.38429063558338,6.74495785520188,-10.5514262559734,8.2153542168555e-16,1.11855676568025e-14,25.4379732258733,"Downregulated"
"ACTA2",-1.22318380890819,10.207032429584,-10.5509151582923,8.2320178920025e-16,1.11999412566265e-14,25.4359490932555,"Downregulated"
"MMP28",-1.086998401768,6.82347996942144,-10.5443678745029,8.44851729740595e-16,1.14435603570476e-14,25.4100171779803,"Downregulated"
"MFAP5",-1.97980745373922,5.26501768093115,-10.4826795137334,1.07919149381621e-15,1.44364493045874e-14,25.1654796226511,"Downregulated"
"RBM24",-1.7138728462204,4.68929426787616,-10.4705828091199,1.13231274561139e-15,1.50264947572452e-14,25.1174835680115,"Downregulated"
