"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"HAPLN1",-1.76787705159809,5.2191159973845,-21.9452451957009,4.63085518401738e-32,3.26653400287995e-29,62.7318188419522,"Downregulated"
"ADH1B",-3.10491860948719,5.74073078928582,-21.8257628748308,6.3629847121263e-32,4.3221162822369e-29,62.4172245094707,"Downregulated"
"PHLPP2",-1.1853606838879,6.07788193572758,-21.6941694336271,9.04304883384485e-32,5.92319698616838e-29,62.0691516399804,"Downregulated"
"SLC29A1",1.34701613732534,6.17117688611304,21.5332833722378,1.39285409181008e-31,8.34915179549219e-29,61.6413165659568,"Upregulated"
"ANK2",-1.47840369925202,4.51199834818354,-21.5203505515089,1.44221839704238e-31,8.34915179549219e-29,61.6068154806208,"Downregulated"
"SLC12A2",1.62472277524014,10.3464731560025,21.5179190300571,1.45169556553917e-31,8.34915179549219e-29,61.6003270466219,"Upregulated"
"C2orf88",-2.60290128296649,7.80972292990449,-21.5166219811446,1.4567767582102e-31,8.34915179549219e-29,61.5968656782636,"Downregulated"
"SLC17A4",-2.68139988068842,6.72347723676346,-21.4374013659669,1.80387487003627e-31,1.00181995035261e-28,61.3851412146646,"Downregulated"
"MYLK",-1.53788701682203,7.20345557899259,-21.4266100784142,1.85724527328183e-31,1.00181995035261e-28,61.3562528391944,"Downregulated"
"MEIS1",-1.48981879956788,4.48954365380797,-21.3921307038799,2.038734539166e-31,1.06829689852298e-28,61.263874489891,"Downregulated"
"HILPDA",1.27622152734946,7.17079883240695,21.3491327421749,2.29047120841099e-31,1.16686783228493e-28,61.1485087879543,"Upregulated"
"CDK4",1.18304860140072,9.38558783573905,21.2479946789296,3.01412890553242e-31,1.49403038182337e-28,60.8764301158144,"Upregulated"
"SLC4A4",-3.11156207736204,6.96489360096905,-21.2275918076209,3.18615846993719e-31,1.53774069312232e-28,60.8214200486323,"Downregulated"
"SPIB",-1.81147967015117,6.0459901363805,-21.1871030984848,3.55758504634802e-31,1.64108087259427e-28,60.7121322045278,"Downregulated"
"CDKN2B",-2.83362153711742,6.69885501056438,-21.1848766146165,3.57923854437136e-31,1.64108087259427e-28,60.7061177092054,"Downregulated"
"TSPAN7",-2.40600938499211,8.55713427873597,-21.1716096254657,3.71106242789264e-31,1.66002158359881e-28,60.6702687945667,"Downregulated"
